client_id,y_proba,age,job,marital,education,gender,has_deposits,loan,has_insurance,has_mortgage,has_deposits_enc,loan_enc,has_insurance_enc,has_mortgage_enc,marital_enc,education_enc,gender_enc,job_enc,last_balance,mean_balance,min_balance,max_balance,currency,currency_enc
175712371,0.972808948198152,84.0,retired,married,secondary,M,yes,no,y,no,1,0,1,0,1,1,1,5,81102.31560906564,81197.79308471327,81084.75566111751,81323.7873822113,CZK,0
667293473,0.9224448923276249,61.0,self-employed,divorced,tertiary,F,yes,no,n,no,1,0,0,0,0,2,0,6,52403.29490761213,52573.33067271749,52403.29490761213,52683.4610320752,CZK,0
1866629429,0.8855239676927787,77.0,retired,married,primary,F,yes,no,n,no,1,0,0,0,1,0,0,5,29481.49966979097,29329.90062418846,29137.73672796566,29500.38265052459,CZK,0
393510702,0.8793006413715062,74.0,retired,divorced,primary,M,yes,no,n,no,1,0,0,0,0,0,1,5,29066.90264212012,29065.034642035138,28884.744939166405,29232.542051096832,CZK,0
1109522163,0.8726299577637261,61.0,retired,married,tertiary,M,yes,no,n,no,1,0,0,0,1,2,1,5,32611.34759294182,32689.832040736495,32591.406519861786,32882.04247989365,CZK,0
684390477,0.8511733725562446,55.0,entrepreneur,married,secondary,F,yes,no,y,no,1,0,1,0,1,1,0,2,27635.53224690576,27623.535233997114,27474.95089113163,27771.80001300844,CZK,0
1718233087,0.8488805956120984,45.0,management,married,tertiary,F,yes,no,n,no,1,0,0,0,1,2,0,4,31495.61141166876,31467.12124983439,31379.309130524005,31564.121963832466,CZK,0
441196465,0.8359614508877241,85.0,retired,married,primary,M,yes,no,y,no,1,0,1,0,1,0,1,5,12033.381863249351,12086.127271192196,11911.282740204007,12248.409727521748,CZK,0
125571081,0.8358820372719913,65.0,retired,married,secondary,F,yes,no,y,no,1,0,1,0,1,1,0,5,20632.58945899346,20804.246662857193,20632.58945899346,20923.036868500156,CZK,0
1627910488,0.8336176325277617,32.0,unknown,single,tertiary,F,yes,no,y,no,1,0,1,0,2,2,0,11,34677.29541337927,34633.67170676611,34466.27838234905,34731.71338504351,CZK,0
119858616,0.8231959957414615,63.0,retired,married,secondary,M,yes,no,n,no,1,0,0,0,1,1,1,5,17952.338015040183,18011.648781142903,17831.034990925826,18123.086266121576,CZK,0
1637935708,0.8198252461625489,49.0,management,married,tertiary,F,yes,no,n,no,1,0,0,0,1,2,0,4,22520.21269557221,22515.80129962973,22409.086986257244,22627.879672031333,CZK,0
884903654,0.8188344166433442,85.0,retired,divorced,primary,F,yes,no,n,no,1,0,0,0,0,0,0,5,7636.971714414598,7616.370602263354,7475.241461485129,7806.465541450701,CZK,0
1402085184,0.817418867740859,82.0,retired,married,primary,M,yes,no,n,no,1,0,0,0,1,0,1,5,8559.833468592686,8611.145615897496,8474.80798840857,8712.489237028412,CZK,0
1285603128,0.8170662487043729,87.0,retired,divorced,primary,M,yes,no,y,no,1,0,1,0,0,0,1,5,6685.660400322239,6744.87866052636,6593.4872324967155,6958.360639898159,CZK,0
957529019,0.8148197508969023,77.0,retired,married,secondary,M,yes,no,y,no,1,0,1,0,1,1,1,5,9684.677529910421,9581.847078649289,9473.846551280429,9734.863156594354,CZK,0
1177854254,0.8134269919349404,39.0,blue-collar,single,primary,F,yes,no,n,no,1,0,0,0,2,0,0,1,24317.21260090342,24300.350156827826,24207.598817401613,24382.56019538964,CZK,0
170234727,0.8133868549966613,79.0,retired,married,secondary,M,yes,no,y,no,1,0,1,0,1,1,1,5,8441.682552655127,8301.757872992093,8186.246767511778,8470.00292677515,CZK,0
601704380,0.8131189151129354,57.0,unknown,married,unknown,M,yes,no,y,no,1,0,1,0,1,3,1,11,19321.712389656044,19259.561474665854,19156.185994976804,19419.956271678988,CZK,0
1094807734,0.8129467596028862,95.0,retired,divorced,primary,M,yes,no,y,no,1,0,1,0,0,0,1,5,2192.994896766425,2268.603771108184,2149.4416841773427,2389.9313578992305,CZK,0
736496687,0.8114022292040344,78.0,retired,married,primary,M,yes,no,y,no,1,0,1,0,1,0,1,5,8605.346857986799,8561.503339570505,8414.283379637747,8687.727286916273,CZK,0
1250882667,0.8095328263887913,74.0,retired,married,secondary,F,yes,no,n,no,1,0,0,0,1,1,0,5,9614.946108040356,9476.11943297512,9313.089431094071,9622.298266962422,CZK,0
674391373,0.8094356633223084,86.0,retired,married,primary,F,yes,no,y,no,1,0,1,0,1,0,0,5,5163.8513043944495,5222.601174262907,5106.864169825194,5371.868638776545,CZK,0
1459261994,0.8092371992750381,60.0,unknown,married,unknown,F,yes,no,n,no,1,0,0,0,1,3,0,11,17302.805532390044,17305.356702037483,17214.021231823674,17439.245579659095,CZK,0
