has_deposits_enc,age,last_balance,min_balance,has_mortgage_enc,max_balance,mean_balance,job_enc
1,45,162.74590558983715,102.96474569366862,0,301.34067401669427,207.67564878371962,0
1,43,382.75538914893417,238.01573290125756,0,454.6088407612082,381.48861272083207,0
1,35,2884.5168402809245,2686.8141281058683,0,2943.1751503952146,2796.2860392112634,9
0,40,2755.665444672008,2719.018832414347,1,2915.419566596068,2808.2298890073153,1
1,33,85.03273661122455,85.03273661122455,0,228.79968573870622,139.86023119297988,7
0,54,386.3204246411686,308.15402820841075,0,481.963496594245,384.74333037070886,7
1,58,3125.1632715329984,3057.4553978386734,0,3210.411348563371,3112.900909142685,1
0,55,1771.7404048608,1605.323578125024,0,1817.3372395487572,1713.3413011708606,0
1,35,698.9659956976609,605.1837734134737,1,828.4505604264193,711.1642279243931,4
1,48,814.8796758517052,708.1813346955142,0,893.138488210091,820.184912635379,10
0,51,213.64656177367857,85.92587576597496,0,305.05993152793485,172.34956196192763,0
1,32,862.821178626925,762.8836241262043,1,966.9408602835441,870.0020419973014,1
0,36,186.1738788472332,106.82189310687473,0,297.46323877896845,214.0477416221666,4
1,22,860.577362828324,846.3709773065054,0,1042.596390682857,941.8072429723215,8
0,47,616.7950563853462,587.7879516747446,1,773.8834982173245,671.3744488490744,1
1,38,324.2040864117381,324.2040864117381,0,602.3164323686826,437.6038919794801,4
1,38,372.41937344389976,178.7846874085319,0,404.2482768674907,315.39323813038664,9
0,47,1557.913110968329,1502.7991896381764,1,1701.1531849293099,1590.228021837693,9
1,77,7890.209346392754,7655.127232426139,0,7960.594732546049,7799.232835271935,5
0,30,1145.1725528649902,1020.8006171237711,1,1214.6123714054931,1132.8389515921265,1
1,61,-49.52853261434114,-118.40506136772323,1,87.4046882527148,-17.902342180942814,6
0,31,613.5511817530704,531.8796380081939,1,734.3445131080585,607.866400778556,1
1,54,2262.142898942923,2096.0954428207974,0,2386.6565495574123,2201.1449863441194,11
1,35,967.383133766197,873.7827745627053,0,1046.237180321005,974.1625070049411,10
1,37,636.0433435514175,486.1148942271245,0,735.9851079943525,619.7189384737699,4
1,39,13.497740574203995,-77.90905461412382,1,136.6877754089976,52.79892061840587,0
1,35,422.31317693080297,328.5813800455609,0,489.8363442859758,417.7029837284659,10
1,32,296.0971433789702,176.35116455172516,1,462.01863764027604,281.8848631851378,4
0,60,559.6747679995668,471.1995439332678,1,625.0194859536214,553.189593311701,4
0,42,434.71496872487387,301.58864712763176,0,533.5542018972588,402.92918299762357,1
0,43,327.0949136706309,132.6723687641408,1,368.7307448109474,235.7102705487959,1
1,43,-225.89000818261508,-336.3426965273473,1,-156.97857775583884,-257.7595135922699,0
1,32,12748.04001650472,12473.548383458212,0,12748.04001650472,12580.077783506702,4
0,29,3200.2372437335803,3200.2372437335803,0,3411.6379077643796,3316.3068037660537,1
0,38,351.56825284177944,327.9266015112376,1,515.6920364246037,426.91747215274387,4
1,34,23.974916935726128,-26.224519780009757,0,168.70521134546794,61.61402386916329,0
0,35,648.8101652204701,642.7235957191018,1,810.6264715787376,720.9653532549493,0
0,30,755.3595730697709,506.0238987600392,0,792.1324610478671,660.8670051537182,4
1,39,-541.952617071059,-666.8156204060272,1,-435.2246736728606,-525.1183829934565,9
0,46,170.88243866799365,78.81394680320237,1,269.05550200597827,174.708252800497,0
1,37,1375.5563364722238,1190.5264770580732,1,1421.982209561692,1311.8081532923777,10
1,56,702.2992697358527,521.544465564539,0,710.3304113317827,615.49075412392,4
1,39,3.791472296471177,-6.904398752015972,0,133.38346564638914,58.07233905427092,7
0,39,11891.885469039293,11621.562843654367,1,11891.885469039293,11774.48815014843,9
1,45,1108.1851802556007,1108.1851802556007,0,1298.419946633249,1207.1540649102556,0
1,54,485.4284982174957,380.91141286305776,0,597.9365028805771,477.3611421949623,9
1,36,1079.5017984997214,962.7299528535982,0,1141.86091275478,1062.7348960940944,4
1,39,470.9365701700238,387.95056686421884,0,567.7506727606002,492.24298729140054,4
0,43,10.69611808238422,-35.88895277932083,0,126.4113452500852,34.98399410979156,4
1,23,283.00598071352226,227.95402160751414,1,379.94953844900556,290.89103964472116,9
1,30,592.918720832691,435.16136386647787,0,617.2808210413746,530.5347413576415,4
1,54,-31.686708521382055,-69.85623889128988,0,65.1724922718216,13.606793022395165,7
0,43,-30.78726491694832,-104.4517624348787,1,31.86094441463679,-37.46077684244565,9
0,45,322.84201939657197,162.70798602518164,0,384.2172851081189,266.9932318749433,2
0,34,127.78788191350336,1.2873532099575584,0,204.9291842060828,85.17987157490015,9
0,25,1161.5730801372551,1023.7671802131708,1,1249.1938675126378,1133.476459135233,0
1,42,133.50715570292678,35.58927706062646,1,210.15261205610796,131.5211371055248,7
